Person_ID,Age,Annual_Income,Rent_Amount,Utilities_Amount,Education_Expenditure,Healthcare_Expenditure,Luxury_Spending,Savings_to_Income_Ratio,Travel_Expenditure,Missed_Payment_Rent,Missed_Payment_Utilities,Employment_Stability,Debt_to_Income_Ratio,Tax_Compliance,Dependents,Aspirational_Spending_Ratio,Emergency_Fund_Ratio,Pre_Cursor_Credit_Score
8e1b6e96-49b6-416d-9af7-ce27588b7424,40,41524.81,928.6,224.98,492.88,2669.06,5684.94,0.47,9045.8,12,12,4,0.53,1,2,0.355,1.182,484.84
03293ea5-5b81-4f80-a871-06baf9d82e94,34,40931.72,1077.8,267.82,26129.87,9683.35,12763.08,0.204,11785.42,12,12,16,0.944,1,5,0.5,0.323,462.71
1526c32f-584f-4bdf-b2d5-c186f498c0ba,41,14087.14,961.05,243.48,93.03,6494.78,1028.81,0.63,3591.97,9,11,18,0.679,0,2,0.328,0.424,526.71
5c47e7e0-750e-4b1c-ad18-3c52d6a133ba,50,43398.2,1244.17,358.39,432.33,7401.54,15630.48,0.916,10702.67,3,5,10,0.736,1,1,0.5,1.493,654.01
368d2574-17f7-49af-b743-946020512f59,33,64656.58,1678.87,382.36,131.93,10114.29,13664.35,0.683,13428.8,4,5,1,0.113,1,0,0.419,1.267,643.61
e6794c41-8132-4c5c-b74a-05322c310266,33,24515.36,891.58,180.58,210.45,3898.37,4331.22,0.352,871.42,10,9,5,1.064,1,0,0.212,0.515,477.58
89111387-7b06-480d-b8e8-7f0f93707fc3,51,70969.65,1600.33,461.91,241.9,13403.2,28644.46,0.187,17229.47,5,5,20,0.261,1,5,0.5,0.348,631.69
4613461a-aed8-4a01-88a6-b4a13aa2e34d,43,59755.5,887.33,198.7,426.71,11409.48,15120.03,0.805,16767.19,5,6,2,0.741,1,1,0.5,1.968,601.06
d5033bf0-3c5c-472f-84e1-b34f0e3581dd,30,35315.33,860.95,152.09,164.72,2147.73,6681.67,0.358,4139.5,6,7,1,0.266,0,4,0.306,0.884,544.59
d043bef7-9f41-4ce1-852d-e7aab8b8278e,40,47169.41,1527.44,357.6,481.03,1167.26,20711.02,0.071,4438.57,9,11,16,0.217,1,2,0.5,0.141,532.8
659f0f64-335a-4881-a1c8-4ceed03b1574,30,81966.44,1568.77,375.69,190.55,9005.72,15092.14,0.593,12847.79,2,1,1,0.493,1,0,0.341,1.503,659.48
9120cce7-2bb6-45dc-abe1-19091cf4e4f6,30,64670.96,1540.56,462.89,209.6,3931.36,27776.19,0.284,18556.47,1,2,4,0.424,1,2,0.5,0.657,642.33
56ad4a20-7d50-4183-9813-b60edbb20cc6,37,50175.67,673.68,214.66,26886.83,25.28,12649.25,0.849,765.16,11,9,4,0.466,1,5,0.267,3.987,568.02
fa4aa93a-9dff-4465-bd1a-5c527bc0258d,18,45246.33,1013.62,310.78,322.39,2763.79,4705.78,0.095,9622.27,8,9,0,0.155,1,0,0.317,0.23,519.59
d698f7c1-2eaf-4528-8ea9-acfc7cfec674,18,51532.18,1529.2,423.3,347.87,3429.97,15789.93,0.348,12594.49,1,3,0,0.459,0,4,0.5,0.668,598.74
389e61fb-2a0d-47ba-9382-6b1de3ff7f6a,29,39764.73,1216.62,351.47,11096.38,6925.1,5672.91,0.29,9409.32,8,8,8,0.515,1,0,0.379,0.448,542.15
86796846-da17-4387-b430-e3af03ad2a6d,25,10000.0,770.52,158.23,457.54,7253.4,735.78,0.705,1700.32,9,11,5,0.727,1,2,0.244,0.383,521.12
77d315c5-deac-49f2-8203-05bc8f3357c2,38,90843.56,1383.33,335.9,326.85,10700.46,3930.32,0.571,20000.0,3,5,18,0.307,1,3,0.263,1.656,677.94
46d25545-41ec-41be-aeb3-9271cc8c35aa,26,53106.5,914.08,179.02,207.03,7521.09,6417.85,0.801,2143.23,10,9,2,0.194,1,3,0.161,2.061,574.68
af50d1ac-1fad-4d1b-a3b1-c022f869346c,21,57962.95,1917.81,468.93,11933.49,207.58,21346.44,0.262,4262.9,0,0,2,0.545,1,2,0.442,0.526,650.04
34753142-14b8-4482-9fa6-93d93c0c822b,50,48841.85,1817.94,488.69,104.93,10950.37,20464.72,0.056,4497.69,2,0,15,0.611,0,3,0.5,0.1,618.37
f72ad1ba-7957-4bd7-a708-a917e2563ddc,33,35297.66,1441.64,367.14,463.82,2293.33,15208.36,0.254,91.89,9,8,11,0.18,0,4,0.433,0.374,534.53
b4839186-26f0-4394-b520-a1723edb845b,36,46281.51,1744.4,500.0,450.97,2077.51,6251.44,0.999,5146.54,1,0,8,0.273,1,1,0.246,1.594,743.89
9f020ff1-234a-42f0-bb13-7ea9201035e4,21,18012.1,1225.92,249.41,28352.36,5171.29,5952.76,0.297,868.15,3,4,2,0.68,1,0,0.379,0.234,585.89
67b1e6e5-180d-4e67-af89-1b800119983e,30,95541.73,1506.17,401.55,596.79,3850.43,11004.21,0.639,20000.0,1,0,0,0.084,1,1,0.325,2.283,708.98
7b2c2429-dfc5-4277-9b3c-720c095465d3,36,25309.76,1791.09,385.36,4555.05,10153.11,7880.98,0.91,3150.71,11,12,9,0.345,1,2,0.436,0.635,552.62
f056e5d7-b43b-47bc-9a39-34003ee1786c,23,29360.67,1298.2,329.26,27.69,300.31,13024.55,0.052,6205.02,9,10,1,0.327,1,2,0.5,0.1,490.21
f08fdaaf-b471-4109-a76a-eaf247df3e2d,39,41194.82,1097.93,311.5,310.4,9626.17,842.3,0.677,3629.1,5,3,6,0.568,1,3,0.109,1.051,632.42
4bebd6bb-1b81-43a1-8b26-0c3f9b8594ac,29,75761.51,518.15,118.81,12.78,1220.98,37321.09,0.324,2998.29,10,10,6,0.673,0,2,0.5,2.769,481.77
c927a919-f56d-49a6-8fd8-d653ab9cb4f6,32,50290.18,1166.75,319.24,221.07,1738.61,20797.2,0.315,1991.33,9,11,8,0.722,1,1,0.453,0.809,499.88
b7b02eb7-cfc2-4ef7-90c2-f83d7a07e74c,29,25277.28,1529.37,334.36,8748.58,4259.45,9626.37,0.264,1541.39,0,2,7,0.689,1,3,0.442,0.251,636.5
ddfd8967-3172-46c2-bb3b-b5ad69323657,54,75086.77,1578.25,311.38,127.97,6572.88,25956.1,0.863,2595.35,4,5,10,0.526,1,4,0.38,2.215,660.03
7b64cb35-d6fa-4135-8a07-90d42bba4579,35,64620.01,1401.75,378.29,299.58,5235.7,24887.55,0.404,4275.53,8,6,8,0.708,1,1,0.451,0.982,557.26
6e27c18a-5019-4e7e-a128-5e69b4816a61,24,60768.7,983.48,333.07,168.45,6941.73,30220.13,0.061,10556.15,0,0,0,0.86,1,0,0.5,0.163,604.3
4e49399a-b4be-49da-9670-0f33fc42ab35,43,64314.68,409.27,52.52,185.46,8697.76,24767.3,0.142,4945.85,3,3,11,0.022,1,4,0.462,0.641,653.35
cffe2c1f-0fc9-4c91-bad2-f0e81ae8393c,23,97887.24,1001.91,311.59,7373.41,2054.5,17208.62,0.1,10071.03,1,3,2,0.328,1,2,0.279,0.549,619.64
a71c1190-4f4f-4c93-8579-6e85b00a2e4d,37,93701.9,1078.26,271.74,21392.22,1968.5,28762.82,0.904,1482.38,10,9,19,0.368,1,0,0.323,4.662,632.28
496e7c2c-c9e3-4539-a0b3-cbb91c1cd63d,18,36265.69,1074.83,201.92,496.59,2326.41,6109.37,0.231,9706.97,1,0,0,0.245,1,2,0.436,0.475,654.31
1b57d302-ba53-4d41-bfdc-c656d025cd20,22,82477.7,1447.42,305.28,20632.26,3057.26,40004.38,0.492,3418.56,4,3,2,0.837,1,1,0.5,1.684,599.16
061021b0-577a-4f1f-995e-a47c08b11845,37,57663.36,1994.27,499.36,277.6,6845.51,25952.54,0.827,6031.57,1,0,7,0.266,1,3,0.5,1.297,725.8
9c62f9c4-61f2-4ba9-ad04-82e419b61f63,42,59981.92,1249.41,292.13,17.74,3437.57,17023.48,0.846,6828.57,12,12,6,0.401,1,2,0.398,2.313,536.45
707d856a-6bb7-4e99-9f92-1d2c1f109ca6,37,16154.58,1113.31,212.68,26946.29,8737.8,6310.57,0.322,3742.01,4,6,4,0.239,1,1,0.5,0.211,599.59
022a2666-9627-4753-ae23-b59f3289a40f,34,46592.28,1096.31,189.38,393.53,1030.05,21192.19,0.308,6758.81,0,0,4,1.151,1,5,0.5,0.872,619.57
b13f5535-0e2a-4c58-ae98-ad2b1f93d4f0,32,33743.53,1249.75,270.1,5762.06,5518.31,4109.97,0.582,3876.69,4,3,3,0.296,1,4,0.237,0.827,641.82
e9994a93-42be-42cc-b6d5-4cea6f63f307,20,66561.18,868.68,226.86,211.38,3837.12,19285.5,0.35,13895.47,12,10,0,1.399,1,1,0.499,1.372,421.28
e0cb4701-9539-414e-ab0d-31711dbbf8ec,28,71421.61,1248.08,311.7,25211.0,1781.93,17202.48,0.534,12791.93,2,4,4,0.854,1,1,0.42,1.861,615.95
